X1,X2,X3,X4,X5,Y
343.4235999,5,0.015575536,2.16,0.373625818,740.5189919
704.7096781,4,0.020316455,3.375,0.349666051,1559.474943
343.2194042,1,0.02686948,54,0.01925769,1285.253378
568.2000797,2,0.007770567,13.5,0.236096362,1379.265634
813.007878,2,0.003803132,13.5,0.516616307,1856.695859
101.7684089,4,0.018142469,3.375,3.47E-46,292.7766522
395.0086089,1,0.000916747,54,0.61595893,1376.89181
464.2580406,3,0.00746004,6,0.152153887,1064.501364
531.8586156,4,0.021064048,3.375,0.442427259,1163.125111
290.2715069,1,0.061479598,54,0.151348067,1135.705091
253.8297288,2,0.00510642,13.5,0.017871468,678.3004304
128.530522,6,0.000929211,1.5,0.015372639,312.8190994
155.3167107,3,0.011580316,6,1.11E-08,403.5154388
141.1486656,2,0.00081744,13.5,0.027650162,444.9965525
156.4914159,5,0.00841465,2.16,0.094334317,341.5959016
137.1213867,6,0.00984155,1.5,6.80E-05,324.7907348
636.7158888,1,0.011232099,54,0.828686836,1883.287034
458.7918655,3,0.035701846,6,0.839641849,1062.620034
640.4465881,5,0.015844876,2.16,0.253257467,1427.949461
388.666234,4,0.008122182,3.375,0.148288276,898.1104778
244.172154,6,0.042452417,1.5,0.223201092,580.6333726
184.0754912,1,0.016648059,54,0.001209034,935.1886818
762.0464158,5,0.004012348,2.16,0.455002886,1635.249966
90.43379305,3,0.006945798,6,0.000648458,267.8731607
323.4368597,6,0.003386911,1.5,0.000282681,748.0993741
128.0425164,6,0.072549945,1.5,1.32E-05,290.9321233
520.407588,6,0.028556178,1.5,0.142991973,1214.381034
790.237755,6,0.012891386,1.5,0.648015939,1761.029032
469.0491043,1,0.012209015,54,0.055577248,1515.962591
799.1092882,3,0.00382762,6,0.479453962,1784.862288
314.6461596,4,0.002724519,3.375,0.144740403,725.5841409
833.6486281,4,0.045226156,3.375,6.40881823,1857.480908
336.9960394,2,0.006052636,13.5,1.019775421,853.9323424
98.85194371,2,0.002368511,13.5,2.68E-08,329.7715438
506.010334,5,0.002656567,2.16,0.317504615,1119.494069
224.6978964,5,0.011773882,2.16,0.06062792,527.7002532
551.6288039,6,0.002317672,1.5,0.53003983,1207.188237
579.5404824,1,0.02246391,54,0.034554174,1740.806346
70.26003241,5,0.005179069,2.16,3.67E-06,223.344108
93.59479307,5,0.001690911,2.16,0.00098879,266.2502074
584.173896,3,0.02613198,6,2.721781829,1304.776893
390.1842875,1,0.027610954,54,0.037310211,1364.263519
201.3024917,5,0.009952682,2.16,0.144496163,513.0409391
321.7512302,6,0.012070939,1.5,0.071891625,725.2829201
258.038183,5,0.012477297,2.16,0.001083154,601.1899007
321.238986,1,0.018539331,54,0.003938415,1218.092041
409.4301902,1,0.009356217,54,0.751540752,1416.709731
52.7024392,2,0.034533953,13.5,4.03E-05,253.707229
805.9775707,1,0.015875044,54,2.133368768,2302.786904
102.7455982,4,0.012990905,3.375,0.00134772,322.4810848
254.0358812,4,0.0758898,3.375,0.020242521,644.7730733
145.5209719,4,0.023309234,3.375,0.01684582,350.0499698
360.9550039,2,0.006859348,13.5,0.373855864,954.6339412
230.5290612,2,0.001405361,13.5,0.383928133,673.742752
711.2324724,5,0.014891739,2.16,2.841754851,1590.801427
507.3493451,2,0.005218236,13.5,0.65627081,1267.733083
314.4569115,6,0.01011088,1.5,0.144462098,685.6408477
696.8640288,4,0.038966,3.375,0.236932036,1505.807171
423.6051947,2,0.005206827,13.5,0.216950134,1089.978877
754.579042,6,0.017507533,1.5,0.809774704,1645.77127
583.3608425,6,0.00075427,1.5,0.798486927,1297.709704
713.6796998,2,0.053966123,13.5,3.013737387,1660.009274
559.4172096,3,0.002534314,6,0.09988765,1305.444083
371.3520634,3,0.003421035,6,0.000205741,924.3543513
507.2949037,4,0.003038346,3.375,0.448805507,1151.832081
396.8512642,6,0.022899557,1.5,0.062656377,867.5343032
268.1990152,6,0.002147254,1.5,0.315374098,645.7093883
711.0204808,6,0.011278626,1.5,0.796583378,1587.43825
661.1801289,2,0.00237066,13.5,3.692940233,1544.64151
671.78134,1,0.018210765,54,0.498107177,1976.310638
112.4254132,5,0.005786403,2.16,0.004722619,246.8483894
648.8572302,5,0.011392039,2.16,0.062110813,1453.049334
351.272125,2,0.005233319,13.5,0.148431042,973.6358376
376.0058905,5,0.05416819,2.16,0.128031361,792.3497174
595.9816393,6,0.052949119,1.5,0.489093016,1316.487217
740.9504641,6,0.0219971,1.5,0.050068317,1626.329636
571.7201688,5,0.013438582,2.16,1.339279091,1312.91617
450.7794612,1,0.056678084,54,0.038914083,1479.622095
677.8954326,4,0.040430058,3.375,1.378990182,1469.423991
