======================================
Simulation Data for Service Time: 11
======================================
N 	 Mean_T		95th_Percentile_T	Mean_D	95th_Percentile_D	P
0 	 12.110000 	 40.930000 	    0.000000 	 68.110000 	 17549.940000
1 	 12.510000 	 37.140000 	    0.000000 	 67.910000 	 16704.250000
2 	 12.540000 	 32.460000 	    5.030000 	 7.140000 	 18425.100000
3 	 12.590000 	 57.160000 	    5.520000 	 191.580000 	 17567.980000
4 	 12.620000 	 33.580000 	    6.080000 	 26.550000 	 17734.880000
5 	 12.720000 	 32.900000 	    6.290000 	 24.170000 	 18102.540000
6 	 12.850000 	 37.360000 	    6.870000 	 40.850000 	 17571.100000
7 	 12.950000 	 38.880000 	    8.900000 	 37.780000 	 17634.620000
8 	 13.030000 	 37.950000 	    9.830000 	 107.590000 	 18059.720000
9 	 13.040000 	 39.560000 	    11.570000 	 28.610000 	 17938.920000
10 	 13.070000 	 34.750000 	    11.950000 	 24.310000 	 18726.870000
11 	 13.080000 	 37.240000 	    13.690000 	 45.930000 	 17917.480000
12 	 13.130000 	 38.950000 	    13.920000 	 40.070000 	 17981.900000
13 	 13.240000 	 40.060000 	    14.240000 	 36.670000 	 17592.720000
14 	 13.350000 	 41.100000 	    14.290000 	 73.270000 	 18181.250000
15 	 13.370000 	 33.200000 	    14.660000 	 6.290000 	 18420.950000
16 	 13.380000 	 34.770000 	    15.110000 	 55.870000 	 18615.660000
17 	 13.480000 	 41.500000 	    15.360000 	 63.980000 	 17384.280000
18 	 13.540000 	 43.030000 	    15.690000 	 61.180000 	 17240.100000
19 	 13.710000 	 36.830000 	    16.350000 	 46.810000 	 17396.420000
20 	 13.770000 	 34.750000 	    16.430000 	 42.330000 	 18001.960000
21 	 13.800000 	 33.860000 	    17.220000 	 5.030000 	 18193.240000
22 	 13.810000 	 42.740000 	    18.610000 	 82.340000 	 17619.900000
23 	 13.810000 	 39.990000 	    18.820000 	 114.960000 	 18539.140000
24 	 13.940000 	 39.600000 	    18.820000 	 67.480000 	 17490.990000
25 	 14.020000 	 39.750000 	    19.840000 	 84.040000 	 17361.690000
26 	 14.090000 	 36.470000 	    19.930000 	 41.330000 	 18254.960000
27 	 14.230000 	 39.820000 	    20.310000 	 32.100000 	 17244.320000
